Year,SDs
1891,0.046464646
1892,0.046464646
1893,0.046464646
1894,0.046464646
1895,0.046464646
1896,0.046464646
1897,0.046464646
1898,0.043939394
1899,0.043939394
1900,0.046464646
1901,0.043939394
1902,0.043939394
1903,0.043939394
1904,0.043939394
1905,0.043939394
1906,0.043939394
1907,0.041919192
1908,0.041919192
1909,0.041919192
1910,0.041919192
1911,0.043939394
1912,0.041919192
1913,0.043939394
1914,0.043939394
1915,0.041919192
1916,0.041919192
1917,0.041919192
1918,0.041919192
1919,0.041919192
1920,0.04040404
1921,0.043939394
1922,0.04040404
1923,0.04040404
1924,0.04040404
1925,0.04040404
1926,0.04040404
1927,0.042929293
1928,0.041919192
1929,0.041919192
1930,0.042929293
1931,0.038888889
1932,0.038888889
1933,0.038888889
1934,0.035858586
1935,0.035858586
1936,0.035858586
1937,0.035858586
1938,0.035858586
1939,0.035858586
1940,0.037878788
1941,0.037878788
1942,0.037878788
1943,0.037878788
1944,0.037878788
1945,0.037878788
1946,0.037878788
1947,0.035858586
1948,0.035858586
1949,0.035858586
1950,0.032828283
1951,0.032828283
1952,0.032828283
1953,0.032828283
1954,0.032828283
1955,0.031313131
1956,0.031313131
1957,0.031313131
1958,0.031313131
1959,0.031313131
1960,0.031313131
1961,0.031313131
1962,0.031313131
1963,0.031313131
1964,0.031313131
1965,0.031313131
1966,0.031313131
1967,0.029292929
1968,0.029292929
1969,0.029292929
1970,0.029292929
1971,0.029292929
1972,0.029292929
1973,0.029292929
1974,0.029292929
1975,0.029292929
1976,0.029292929
1977,0.029292929
1978,0.029292929
1979,0.026767677
1980,0.026767677
1981,0.026767677
1982,0.026767677
1983,0.026767677
1984,0.026767677
1985,0.026767677
1986,0.026767677
1987,0.026767677
1988,0.026767677
1989,0.028787879
1990,0.028787879
1991,0.031313131
1992,0.031313131
1993,0.031313131
1994,0.033333333
1995,0.032828283
1996,0.032828283
1997,0.032828283
1998,0.032828283
1999,0.032828283
2000,0.032828283
2001,0.032828283
2002,0.032828283
2003,0.032828283
2004,0.032828283
2005,0.032828283
2006,0.031313131
2007,0.032828283
2008,0.032828283
2009,0.031313131
2010,0.031313131
2011,0.031313131
2012,0.031313131
2013,0.032828283
2014,0.031313131
2015,0.032828283
2016,0.031313131
2017,0.031313131
2018,0.031313131
2019,0.031313131
2020,0.031313131